,Count,cell_bin,Coverage,TF_name,mean_delta,num_peaks,median,std,min,max,p25,p75
BRD2,13,"(10, 20]",0.02898279742019992,BRD2,309.0179538145796,309405.0,259.0,173.6559080890934,104.0,1499.0,195.0,370.0
GATA6,13,"(10, 20]",0.024923392759415724,GATA6,340.44031534795516,241511.0,322.0,183.42248696939762,79.0,1499.0,222.0,429.0
NRF1,13,"(10, 20]",0.009170295670645858,NRF1,333.3516875847098,90751.0,275.0,225.1265038077103,94.0,1499.0,182.0,399.0
CREB1,12,"(10, 20]",0.022592629812270514,CREB1,260.64563836781514,285948.0,244.0,111.62653768019736,103.0,1493.0,194.0,307.0
TCF12,12,"(10, 20]",0.02052528067660871,TCF12,278.9886197888769,242702.0,240.0,156.38367852890818,95.0,1499.0,178.0,338.0
RBPJ,12,"(10, 20]",0.015416776817374892,RBPJ,307.62236886673765,165328.0,275.0,151.97758989373006,103.0,1498.0,196.0,377.0
TCF3,12,"(10, 20]",0.02010471990568629,TCF3,339.3836120435566,195424.0,291.0,195.59710694999984,104.0,1499.0,195.0,431.0
FOXM1,12,"(10, 20]",0.006786117234791571,FOXM1,277.8415369722243,80574.0,247.0,126.74866269910392,124.0,1466.0,192.0,328.0
CHD4,12,"(10, 20]",0.01683569369422009,CHD4,320.283915874215,173407.0,272.0,165.81433045271748,134.0,1498.0,214.0,378.0
TEAD1,11,"(10, 20]",0.014408397103857084,TEAD1,277.0787889033326,171547.0,248.0,122.79274445135769,114.0,1494.0,192.0,330.0
MYB,11,"(10, 20]",0.01586569936279799,MYB,311.88465411728254,167817.0,282.0,135.8483073524911,137.0,1499.0,213.0,375.0
SP1,11,"(10, 20]",0.014403081108865278,SP1,266.46980836852464,178311.0,226.0,145.82782270082964,98.0,1495.0,164.0,324.0
RCOR1,11,"(10, 20]",0.016106452067045127,RCOR1,268.1275748614798,198166.0,241.0,125.45612544029316,111.0,1497.0,190.0,316.0
ELF1,11,"(10, 20]",0.015528416956026154,ELF1,248.24878727229554,206353.0,214.0,127.11021723732445,105.0,1495.0,158.0,296.0
HNF4A,11,"(10, 20]",0.016533221248381372,HNF4A,234.29144651494454,232794.0,211.0,109.35385548365078,79.0,1474.0,160.0,282.0
TCF7L2,11,"(10, 20]",0.012141380627077777,TCF7L2,303.2598428177716,132076.0,268.0,147.91996156366096,115.0,1495.0,202.0,368.0
KLF5,11,"(10, 20]",0.009135061024248667,KLF5,340.2134027252509,88579.0,307.0,155.27038757748787,128.0,1499.0,228.0,411.0
BRD3,11,"(10, 20]",0.019206037265991238,BRD3,287.31125863851554,220524.0,240.0,162.26184527628928,105.0,1499.0,180.0,342.0
