,Count,cell_bin,Coverage,TF_name,mean_delta,num_peaks,median,std,min,max,p25,p75
ZNF547,2,"(1, 2]",0.0006045908355589262,ZNF547,267.07177289769686,7468.0,250.0,106.1822544357326,143.0,1368.0,198.0,309.0
ZSCAN2,2,"(1, 2]",0.00022454372413640894,ZSCAN2,280.69344448654795,2639.0,241.0,144.61647927906088,142.0,1421.0,201.0,318.0
SREBP2,2,"(1, 2]",0.018314192638215283,SREBP2,475.3419379710783,127102.0,380.0,281.5697066260685,169.0,1499.0,263.0,608.0
DEAF1,2,"(1, 2]",0.0004240552563113457,DEAF1,244.43840643019396,5723.0,192.0,126.8939214101847,134.0,1471.0,192.0,255.0
ZNF621,2,"(1, 2]",0.00021105230661344013,ZNF621,381.29408543263963,1826.0,323.0,183.299053612968,223.0,1390.0,259.0,435.0
ZNF639,2,"(1, 2]",0.005469737495536794,ZNF639,383.91878723404255,47000.0,332.0,180.01897594080873,106.0,1496.0,259.0,453.0
HNRNPL,2,"(1, 2]",0.006340863777774747,HNRNPL,348.9931595982515,59938.0,282.0,198.65256446879667,166.0,1499.0,211.0,415.0
PRPF4,2,"(1, 2]",0.0032249850253813768,PRPF4,285.67820412985685,37241.0,234.0,152.81104757849943,168.0,1497.0,191.0,321.0
ZNF197,2,"(1, 2]",0.00012244218469864747,ZNF197,345.5312232677502,1169.0,330.0,85.3572022622578,215.0,809.0,279.0,394.0
FUS,2,"(1, 2]",0.001323473896225367,FUS,303.1540063880017,14402.0,257.0,147.83602283446473,166.0,1464.0,197.0,358.0
PRDM10,2,"(1, 2]",0.009634894899480955,PRDM10,341.30823830079675,93126.0,271.0,218.04603518663356,130.0,1499.0,193.0,416.0
NCOA3,2,"(1, 2]",0.0033457939443552226,NCOA3,205.9154509160106,53602.0,170.0,105.73970645519569,123.0,1464.0,130.0,244.0
CDKN1B,2,"(1, 2]",0.011034299282876732,CDKN1B,357.43502553024354,101840.0,282.0,207.78074267770197,171.0,1498.0,214.0,423.0
ZNF582,2,"(1, 2]",0.0001468184028241005,ZNF582,260.1186895810956,1862.0,261.0,75.6951689876018,117.0,849.0,261.0,282.0
ZNF776,2,"(1, 2]",0.00030699242082434143,ZNF776,346.3546511627907,2924.0,294.5,157.43637613503344,215.0,1392.0,244.0,391.0
ZNF302,2,"(1, 2]",8.959711397120594e-05,ZNF302,294.39541832669323,1004.0,256.0,90.12336741855454,218.0,1070.0,253.0,312.0
ZNF189,2,"(1, 2]",0.0068009951700252385,ZNF189,415.28708931050437,54025.0,358.0,196.84837351857232,154.0,1499.0,281.0,479.0
ZNF707,2,"(1, 2]",0.0002721776098074117,ZNF707,311.4429413805064,2883.0,282.0,135.74955683309133,166.0,1459.0,225.0,355.0
SKIL,2,"(1, 2]",0.008445865023485431,SKIL,441.61170988397896,63092.0,380.0,214.3568536803384,212.0,1498.0,285.0,529.0
ZFP37,2,"(1, 2]",0.0034661557462273454,ZFP37,317.7409342262484,35987.0,283.0,174.72751401889468,118.0,1498.0,185.0,391.0
PRDM4,2,"(1, 2]",0.0025279894835826635,PRDM4,362.45012821070014,23009.0,311.0,169.934395197056,201.0,1499.0,246.0,417.0
SPDEF,2,"(1, 2]",0.006913946346957823,SPDEF,359.7441878805085,63402.0,304.0,196.81056079108595,157.0,1496.0,218.0,437.0
ESR2,2,"(1, 2]",0.0025966199883505716,ESR2,270.0085421591805,31725.0,241.0,122.71001988987359,107.0,1425.0,184.0,315.0
BCLAF1,2,"(1, 2]",0.0015359230269776133,BCLAF1,343.1447243667886,14766.0,276.0,203.66223003635474,151.0,1491.0,215.0,391.0
RBM39,2,"(1, 2]",0.00901114987041446,RBM39,333.27717610655185,89196.0,244.0,226.85158980243995,148.0,1499.0,189.0,382.0
ELF4,2,"(1, 2]",0.002170036322720263,ELF4,395.7301824212272,18090.0,348.0,174.1475590608446,215.0,1495.0,272.0,463.75
THAP11,2,"(1, 2]",0.0005572712959452024,THAP11,505.1907117339928,3639.0,462.0,201.4334526748967,179.0,1488.0,349.0,630.5
ZNF148,2,"(1, 2]",0.0034688945279317965,ZNF148,382.3958430795963,29926.0,330.5,185.68303270092565,197.0,1498.0,252.0,450.0
DNMT3B,2,"(1, 2]",0.013691694458995858,DNMT3B,394.30206632853486,114551.0,312.0,245.93790296762157,110.0,1499.0,232.0,473.0
ZNF791,2,"(1, 2]",0.000491365628890777,ZNF791,330.06963958460597,4911.0,291.0,123.36375614662307,221.0,1487.0,253.0,370.0
SUPT16H,2,"(1, 2]",0.0031438561577516824,SUPT16H,455.0813953488372,22790.0,371.0,230.887489439085,157.0,1499.0,292.0,526.0
KDM3A,2,"(1, 2]",0.0061864646939473345,KDM3A,336.63119783591196,60626.0,249.0,237.01787813562612,126.0,1499.0,172.0,415.0
ZNF418,2,"(1, 2]",4.2400948364533884e-05,ZNF418,181.89466840052015,769.0,165.0,64.1667999336459,128.0,857.0,140.0,206.0
CBX8,2,"(1, 2]",0.008542693612425246,CBX8,444.70806835934417,63371.0,349.0,255.21115372388664,217.0,1499.0,264.0,530.0
FOXF1,2,"(1, 2]",0.002918155991755563,FOXF1,251.11487896494157,38336.0,223.0,102.90297621531671,146.0,1272.0,180.0,286.0
MYOG,2,"(1, 2]",0.0053781518472013155,MYOG,259.3753197959154,68403.0,228.0,92.1465472030256,176.0,1483.0,205.0,291.0
ZFP69B,2,"(1, 2]",0.00535058942713945,ZFP69B,351.5950042826126,50203.0,288.0,228.97795461918682,121.0,1499.0,214.0,435.0
SKI,2,"(1, 2]",0.007642964567147047,SKI,336.3365303808444,74965.0,287.0,198.83267181363752,98.0,1498.0,197.0,420.0
HMGB1,2,"(1, 2]",0.0010706044700866597,HMGB1,415.70503766478345,8496.0,356.0,205.47658517231926,178.0,1496.0,273.75,502.0
ZBTB48,2,"(1, 2]",0.016783650779230743,ZBTB48,500.18327837752383,110695.0,428.0,221.01407176559567,226.0,1499.0,346.0,592.0
FOXO3,2,"(1, 2]",0.0016743532098431547,FOXO3,227.14742772545955,24317.0,183.0,141.26174933651708,111.0,1497.0,140.0,260.0
SAFB2,2,"(1, 2]",0.00048640278062677257,SAFB2,264.7854785478548,6060.0,232.0,98.92148650409085,187.0,1384.0,203.0,293.0
SRSF3,2,"(1, 2]",0.005178297171596446,SRSF3,308.8769211297147,55306.0,255.0,148.4975516622835,201.0,1497.0,213.0,343.0
BRD1,2,"(1, 2]",0.010270729974978035,BRD1,348.65799195299394,97179.0,270.0,217.65573837420263,119.0,1499.0,210.0,408.0
AHR,2,"(1, 2]",0.007526246693871405,AHR,245.33532934131736,101202.0,212.0,132.6898645517973,97.0,1494.0,160.0,286.0
ZC3H11A,2,"(1, 2]",0.0006230084225870462,ZC3H11A,269.4349764027268,7628.0,264.0,97.38733089170806,117.0,869.0,193.0,340.0
SP5,2,"(1, 2]",0.0056778982428056,SP5,303.49147736478824,61718.0,233.0,206.93325373766214,110.0,1497.0,162.0,373.0
ZNF281,2,"(1, 2]",0.001997534604182486,ZNF281,286.2718189321865,23019.0,246.0,125.32861249513437,151.0,1497.0,198.0,329.0
MCRS1,2,"(1, 2]",0.005269496025747654,MCRS1,522.563698671316,33266.0,428.0,287.7324122598223,207.0,1499.0,295.0,680.75
CHAF1B,2,"(1, 2]",0.00021472836701519812,CHAF1B,239.7191201353638,2955.0,206.0,117.7656619763529,152.0,1495.0,175.0,257.0
BCL3,2,"(1, 2]",0.006413260978885711,BCL3,294.55196513845766,71827.0,228.0,192.20092817702786,126.0,1499.0,170.0,344.0
NFIA,2,"(1, 2]",0.0023116608920386553,NFIA,270.952780245159,28145.0,241.0,122.22387959250429,131.0,1440.0,180.0,328.0
ZNF407,2,"(1, 2]",0.009371637806330832,ZNF407,402.57577217563414,76796.0,281.0,301.9932322736803,142.0,1499.0,193.0,491.0
DUX4,2,"(1, 2]",0.0068867467737913895,DUX4,294.60134600671705,77117.0,287.0,80.37487244209107,185.0,1368.0,233.0,339.0
TAF15,2,"(1, 2]",0.00544393201833702,TAF15,324.3755621782715,55365.0,248.0,198.2725263079181,170.0,1495.0,197.0,372.0
ZNF629,2,"(1, 2]",0.011472743222216876,ZNF629,383.47235478282016,98697.0,315.0,222.2122632279146,139.0,1499.0,237.0,457.0
NCOA4,2,"(1, 2]",0.00022179099844098845,NCOA4,327.5152193375112,2234.0,278.0,159.1310173749725,200.0,1467.0,227.0,363.0
ZNF10,2,"(1, 2]",0.0028219673107491277,ZNF10,352.4560633021618,26413.0,307.0,144.02343812472944,209.0,1477.0,259.0,399.0
HNRNPUL1,2,"(1, 2]",0.0016158621084213672,HNRNPUL1,277.6202801937399,19201.0,236.0,127.08524133736273,157.0,1470.0,198.0,314.0
ZNF3,2,"(1, 2]",0.007593764710664179,ZNF3,263.3803856424922,95114.0,216.0,139.7916192769406,139.0,1489.0,171.0,303.0
MBD3,2,"(1, 2]",0.0024135738844680973,MBD3,297.1069069741408,26799.0,266.0,171.08556963230953,137.0,1497.0,174.0,353.0
ZNF792,2,"(1, 2]",0.0007853595219598794,ZNF792,342.3856217787763,7567.0,292.0,132.8863927782919,224.0,1401.0,270.0,378.0
SOX6,2,"(1, 2]",0.010825668683738318,SOX6,398.8132509938804,89548.0,339.0,201.9785511939299,175.0,1497.0,254.0,480.0
ZNF571,2,"(1, 2]",0.00017391248666755155,ZNF571,378.44459102902374,1516.0,329.0,164.41204846450495,224.0,1498.0,265.0,440.25
INO80,2,"(1, 2]",0.007084059702346803,INO80,553.4824621651707,42223.0,455.0,289.67091736436055,251.0,1499.0,322.0,708.0
IKZF3,2,"(1, 2]",0.009678568388586528,IKZF3,368.10562844428046,86738.0,302.0,205.20735539663087,165.0,1499.0,223.0,444.0
SNIP1,2,"(1, 2]",0.0003323741219507536,SNIP1,333.9850746268657,3283.0,292.0,144.0339652337873,188.0,1473.0,240.0,384.0
PTBP1,2,"(1, 2]",0.006407605781157073,PTBP1,278.5731154454402,75880.0,231.0,138.69692610670154,164.0,1489.0,187.0,317.0
KDM4A,2,"(1, 2]",0.006033386954829353,KDM4A,398.70220949099576,49921.0,314.0,252.6332361827443,144.0,1495.0,191.0,543.0
RELB,2,"(1, 2]",0.012473463743999613,RELB,485.68700352914794,84723.0,416.0,305.0896398905335,88.0,1499.0,271.0,639.0
ZBED1,2,"(1, 2]",0.002099750726850384,ZBED1,245.15636170589275,28255.0,203.0,143.23877161031635,114.0,1497.0,154.0,286.0
ZNF445,2,"(1, 2]",0.0006213563627874601,ZNF445,315.4509079716836,6498.0,257.0,180.3378445090598,163.0,1492.0,199.0,362.0
NR1H3,2,"(1, 2]",0.00014574532177996565,NR1H3,267.408787541713,1798.0,241.0,84.62351906169118,203.0,1397.0,212.0,290.75
PHF21A,2,"(1, 2]",0.002550741833020707,PHF21A,345.95539201578754,24323.0,303.0,156.6315378202247,179.0,1496.0,233.0,411.0
ZNF157,2,"(1, 2]",0.0005079386684178912,ZNF157,362.3016216216216,4625.0,318.0,145.57763496602252,223.0,1475.0,253.0,425.0
NR5A1,2,"(1, 2]",0.002285713549887284,NR5A1,267.73072006817216,28164.0,230.0,132.96525740552107,131.0,1441.0,174.0,318.0
ZNF561,2,"(1, 2]",0.004637507976106821,ZNF561,458.1007006827165,33396.0,376.0,248.6495460408622,150.0,1499.0,275.0,560.0
GLIS2,2,"(1, 2]",0.008844775323386598,GLIS2,502.54277397909095,58061.0,417.0,260.4867586129667,228.0,1499.0,306.0,623.0
ZNF778,2,"(1, 2]",0.0009598761471926741,ZNF778,195.6107610575735,16188.0,178.0,78.45636068302709,112.0,884.0,143.0,232.0
TP73,2,"(1, 2]",0.002573894314373512,TP73,286.7242182751401,29614.0,262.0,106.73970881148834,144.0,1167.0,212.0,328.0
ZNF77,2,"(1, 2]",6.60226753264695e-05,ZNF77,366.67171717171715,594.0,319.5,186.2087940535599,203.0,1444.0,248.0,411.75
ZNF786,2,"(1, 2]",0.004013965741169853,ZNF786,385.269711958103,34370.0,299.0,241.36932001543164,162.0,1498.0,215.0,471.0
MGA,2,"(1, 2]",0.006607541089405372,MGA,344.5186818397345,63270.0,312.0,140.27403153548707,169.0,1493.0,244.0,404.0
TOP2A,2,"(1, 2]",0.00030382895365581287,TOP2A,108.43935951530888,9243.0,101.0,34.03623583184,90.0,1125.0,90.0,101.0
ZNF530,2,"(1, 2]",0.00013430003336657598,ZNF530,311.56399437412097,1422.0,284.0,119.57839871307783,210.0,1485.0,233.0,352.75
ZNF44,2,"(1, 2]",0.003645693420729928,ZNF44,377.1464141239926,31889.0,289.0,242.5872865880737,154.0,1498.0,205.0,465.0
ZNF483,2,"(1, 2]",5.9876406611532165e-05,ZNF483,303.8876923076923,650.0,286.0,84.93282763680273,197.0,695.0,227.0,370.0
HNRNPLL,2,"(1, 2]",0.00920178211164454,HNRNPLL,353.26688312443997,85929.0,254.0,239.82526225700477,172.0,1499.0,195.0,408.0
ZNF41,2,"(1, 2]",0.0008237773389910992,ZNF41,274.0313602904104,9917.0,230.0,148.01846587882315,149.0,1484.0,183.0,309.0
AGO1,2,"(1, 2]",0.00833299175102413,AGO1,355.88274817461553,77244.0,275.0,215.2414922930274,180.0,1499.0,210.0,419.0
SMAD5,2,"(1, 2]",0.0037144591215841874,SMAD5,290.1170537680233,42237.0,218.0,210.04345613120717,99.0,1499.0,147.0,359.0
ZKSCAN3,2,"(1, 2]",4.315725830948203e-05,ZKSCAN3,322.1085972850679,442.0,302.0,101.12102700620598,204.0,913.0,247.25,366.0
PSIP1,2,"(1, 2]",0.004765142175529746,PSIP1,231.0645725540922,68032.0,190.0,125.4441955671011,141.0,1497.0,155.0,259.0
PBX1,2,"(1, 2]",0.0063586438819113935,PBX1,468.7509944134078,44750.0,418.0,218.24027111474635,178.0,1499.0,308.0,572.0
FIP1L1,2,"(1, 2]",0.00500092202821501,FIP1L1,340.7257894628142,48419.0,280.0,176.01573867118086,186.0,1499.0,216.0,404.0
ZIK1,2,"(1, 2]",0.0001351015097170541,ZIK1,355.6967278531524,1253.0,310.0,156.14346018010534,221.0,1493.0,254.0,401.0
ZNF75A,2,"(1, 2]",0.00036787491669730966,ZNF75A,307.93884800811975,3941.0,264.0,158.45895580789502,135.0,1474.0,197.0,374.0
ZNF501,2,"(1, 2]",0.008945012308727615,ZNF501,467.6292569291476,63103.0,379.0,257.58877279853334,204.0,1499.0,276.0,581.0
TRPS1,2,"(1, 2]",0.004736651570677727,TRPS1,272.2833519202621,57388.0,243.0,126.73146144984494,114.0,1498.0,183.0,328.0
ZNF891,2,"(1, 2]",0.007922229361929564,ZNF891,352.61462282607226,74117.0,261.0,239.44119577896063,157.0,1499.0,194.0,415.0
KLF16,2,"(1, 2]",0.00413356304858059,KLF16,328.0391878563353,41569.0,262.0,213.61368995108862,121.0,1493.0,181.0,395.0
ZNF30,2,"(1, 2]",0.0010890529763991023,ZNF30,221.061407826729,16252.0,196.0,81.07025417837286,148.0,1469.0,162.0,255.0
SPIB,2,"(1, 2]",0.0037912568643668197,SPIB,255.72550502985197,48908.0,242.0,75.13105049241544,137.0,1151.0,206.0,296.0
PHB2,2,"(1, 2]",0.0007299354922907915,PHB2,320.42488356620095,7515.0,280.0,134.04954924883535,181.0,1494.0,235.0,358.0
TRIM25,2,"(1, 2]",0.005146648252789952,TRIM25,357.17555485431785,47535.0,263.0,231.2117515806157,171.0,1499.0,203.0,419.0
KAT2A,2,"(1, 2]",0.0008491275145727119,KAT2A,171.29560325322572,16353.0,143.0,84.23365291631887,96.0,867.0,110.0,203.0
NR5A2,2,"(1, 2]",0.0027213987009272393,NR5A2,409.1912032816773,21940.0,345.0,204.67647318739674,215.0,1495.0,273.0,463.0
ZNF101,2,"(1, 2]",0.001970689996525285,ZNF101,408.8248647968809,15902.0,372.0,168.96945661458753,240.0,1491.0,290.0,458.0
SFPQ,2,"(1, 2]",0.0018218982158488346,SFPQ,279.4440208294588,21508.0,238.0,133.65246580343418,51.0,1482.0,191.0,318.0
NFIL3,1,"(0, 1]",0.00033597712796504367,NFIL3,183.83794990877425,6029.0,163.0,78.5602282879604,102.0,1013.0,127.0,217.0
ZFP82,1,"(0, 1]",3.471144360561618e-05,ZFP82,195.07666098807496,587.0,181.0,63.680510547924015,136.0,861.0,154.0,222.0
ZNF37A,1,"(0, 1]",9.835697160211238e-05,ZNF37A,224.082182320442,1448.0,213.0,76.88072786288464,123.0,1392.0,177.0,255.0
ZNF155,1,"(0, 1]",4.494512045589653e-05,ZNF155,348.8705882352941,425.0,281.0,172.79946580619944,216.0,1492.0,237.0,386.0
ZSCAN26,1,"(0, 1]",7.704206575482823e-05,ZSCAN26,342.52695417789755,742.0,296.0,146.31157001688192,228.0,1488.0,249.0,381.0
TAF2,1,"(0, 1]",6.472164034301561e-05,TAF2,136.7783472133248,1561.0,115.0,46.44499992502707,115.0,974.0,115.0,145.0
ZNF598,1,"(0, 1]",0.00739194453859316,ZNF598,489.3910050573974,49828.0,373.0,306.5293929639518,192.0,1499.0,257.0,632.0
TBL1X,1,"(0, 1]",0.003766149799236449,TBL1X,284.4302328243401,43681.0,232.0,134.2755468181686,189.0,1417.0,192.0,318.0
SP7,1,"(0, 1]",0.010546051348488477,SP7,508.8412800561633,68372.0,418.0,279.07644480218687,215.0,1499.0,296.0,640.0
ZNF333,1,"(0, 1]",0.00010039067237191484,ZNF333,269.69055374592836,1228.0,252.5,78.92192509780682,185.0,900.0,205.0,317.0
CDC5L,1,"(0, 1]",0.0006089531828205489,CDC5L,416.26253626191465,4826.0,319.0,247.1756667461637,215.0,1499.0,252.0,473.0
ZNF488,1,"(0, 1]",0.0001939948649652729,ZNF488,325.1890243902439,1968.0,284.0,132.60318747827466,217.0,1498.0,241.0,359.0
XRCC3,1,"(0, 1]",6.469648053322375e-05,XRCC3,356.90301003344484,598.0,305.5,163.3961919241484,230.0,1388.0,258.0,384.0
PAX7,1,"(0, 1]",0.0016644923831861753,PAX7,251.7774313356871,21809.0,231.0,73.64052043283966,181.0,895.0,199.0,281.0
ZNF215,1,"(0, 1]",0.0014619186293423545,ZNF215,434.63779740447006,11096.0,345.0,250.18118451248708,202.0,1499.0,259.0,518.0
SNAPC1,1,"(0, 1]",0.0004217696543133862,SNAPC1,382.98403523259014,3633.0,331.0,173.5776504514496,229.0,1497.0,255.0,447.0
POU3F1,1,"(0, 1]",0.0010707821044063951,POU3F1,252.49578270192995,13990.0,228.0,83.58358931188306,180.0,1264.0,196.0,277.0
SAFB,1,"(0, 1]",0.000690495216965259,SAFB,288.48568895643365,7896.0,235.0,167.65338213094128,144.0,1497.0,175.0,338.0
ZNF410,1,"(0, 1]",0.0004614618308670757,ZNF410,260.0037574722459,5855.0,194.0,191.93472188357762,120.0,1499.0,150.0,281.0
ZNF423,1,"(0, 1]",0.0011488099496966828,ZNF423,369.99150639461095,10243.0,321.0,166.91568048515867,213.0,1498.0,256.5,421.0
PRDM15,1,"(0, 1]",0.0011924919264489325,PRDM15,280.9947142857143,14000.0,220.0,182.8226243659685,126.0,1498.0,165.0,327.0
ZBTB42,1,"(0, 1]",0.0021403356219563273,ZBTB42,224.6223515938156,31434.0,198.0,91.92928034834837,144.0,1118.0,157.0,258.0
PITX3,1,"(0, 1]",0.009134755468968303,PITX3,564.2155963302753,53410.0,491.0,261.8555384641724,277.0,1499.0,358.0,696.0
SND1,1,"(0, 1]",0.0011079355652130142,SND1,245.1362843729041,14910.0,186.0,175.70354788934893,110.0,1498.0,133.0,284.0
ILK,1,"(0, 1]",0.0002419018709811247,ILK,306.5743373031118,2603.0,265.0,131.32949971898176,193.0,1327.0,221.0,344.0
TOX2,1,"(0, 1]",0.00048671015468856714,TOX2,296.2387453874539,5420.0,257.0,128.5410611581626,181.0,1412.0,211.0,334.0
HOXA7,1,"(0, 1]",0.00032888509290612307,HOXA7,447.0387309435517,2427.0,330.0,297.8771528156106,159.0,1495.0,229.0,584.0
ZNF304,1,"(0, 1]",4.326062572079559e-05,ZNF304,201.00422535211268,710.0,185.0,65.5120762920104,129.0,489.0,146.25,243.0
CASZ1,1,"(0, 1]",0.002881699730497393,CASZ1,340.46536781032876,27922.0,293.0,149.74825537616786,201.0,1492.0,237.0,392.0
ZNF566,1,"(0, 1]",2.549810313797931e-05,ZNF566,349.02904564315355,241.0,344.0,88.1806100351361,242.0,676.0,266.0,422.0
ZNF677,1,"(0, 1]",0.00030783330410581885,ZNF677,268.7969825304394,3778.0,248.0,86.28212476006344,174.0,1260.0,204.0,313.0
PPARA,1,"(0, 1]",0.0001877058219080227,PPARA,270.40393013100436,2290.0,224.5,141.2561281406147,152.0,1475.0,179.0,309.0
ZNF700,1,"(0, 1]",0.0003958480782322836,ZNF700,304.4691070179529,4289.0,249.0,170.11922410378375,165.0,1487.0,198.0,343.0
FOXP2,1,"(0, 1]",0.0020038060656859063,FOXP2,182.31004716070493,36259.0,148.0,98.004839410622,96.0,1224.0,114.0,217.0
ZNF658,1,"(0, 1]",5.837469941022029e-05,ZNF658,363.3452830188679,530.0,305.5,162.34550785010003,226.0,1144.0,251.0,411.75
SCRT1,1,"(0, 1]",0.0035663793938378705,SCRT1,341.08868466065576,34493.0,313.0,118.45658599535139,222.0,1496.0,259.0,384.0
SIX1,1,"(0, 1]",0.004964062906869932,SIX1,305.0956124825338,53675.0,243.0,189.31439536803214,125.0,1492.0,171.0,377.0
ZNF318,1,"(0, 1]",0.0010021825189228096,ZNF318,401.42204953861096,8236.0,351.0,164.98802994457284,232.0,1496.0,287.0,461.0
PHF20,1,"(0, 1]",0.0011556164360709777,PHF20,396.61641697877656,9612.0,329.0,193.67463379012355,203.0,1490.0,248.0,496.0
MYF5,1,"(0, 1]",0.0019627907256413554,MYF5,339.40004193311665,19078.0,279.0,183.1229022277959,179.0,1499.0,218.0,392.0
ZNF140,1,"(0, 1]",0.0006771535457800876,ZNF140,254.89160200821541,8764.0,245.0,70.13968149176188,163.0,1497.0,204.0,298.0
ARID5B,1,"(0, 1]",0.0018612484614935457,ARID5B,359.3851331577407,17085.0,319.0,149.5877194972445,200.0,1472.0,243.0,434.0
HIF3A,1,"(0, 1]",0.007145506626723777,HIF3A,530.7544637831265,44413.0,439.0,302.2989790475856,205.0,1499.0,291.0,687.0
ZNF214,1,"(0, 1]",6.055269017352788e-05,ZNF214,334.6030150753769,597.0,324.0,83.86485327629887,224.0,1076.0,275.0,370.0
ZNF329,1,"(0, 1]",0.00014860232427741507,ZNF329,203.58222591362127,2408.0,190.0,57.43484131420713,146.0,857.0,157.0,238.0
ZNF518A,1,"(0, 1]",0.002773228515358952,ZNF518A,383.33348696890977,23866.0,335.0,187.45580204292366,196.0,1493.0,261.0,425.0
ZNF670,1,"(0, 1]",4.412970011444943e-05,ZNF670,359.4567901234568,405.0,286.0,194.8753631502415,211.0,1480.0,235.0,387.0
ZNF492,1,"(0, 1]",4.83232038332521e-05,ZNF492,257.1193548387097,620.0,235.5,71.97038934895566,194.0,558.0,194.0,297.25
ZNF747,1,"(0, 1]",8.254963905733842e-05,ZNF747,365.53557046979864,745.0,305.0,170.17779012508737,231.0,1386.0,255.0,407.0
ZNF645,1,"(0, 1]",0.00029396206439406445,ZNF645,362.11911874533234,2678.0,310.0,159.52748799234465,231.0,1472.0,258.0,404.75
POU2AF1,1,"(0, 1]",0.00048467402887685706,POU2AF1,320.35604087357245,4991.0,283.0,132.0206520519045,195.0,1452.0,224.0,372.0
EOMES,1,"(0, 1]",0.0031430507407081043,EOMES,250.77753591641272,41346.0,220.0,115.16107368961724,132.0,1403.0,169.0,296.0
MAML3,1,"(0, 1]",0.0010507336766953808,MAML3,372.43773503814333,9307.0,333.0,152.4670116020132,211.0,1427.0,264.0,431.0
ZFP41,1,"(0, 1]",1.8277540857953308e-05,ZFP41,327.69565217391306,184.0,262.0,172.06954618456598,208.0,1458.0,224.0,367.25
ZBTB20,1,"(0, 1]",0.006174188222420098,ZBTB20,552.505194629052,36865.0,446.0,302.9117415123228,243.0,1499.0,322.0,693.0
ZNF749,1,"(0, 1]",1.3909130991561424e-05,ZNF749,382.375,120.0,330.5,140.91436475135285,260.0,840.0,271.75,430.5
SRC,1,"(0, 1]",0.0005613359693126612,SRC,312.43428378606376,5927.0,280.0,121.14266973935545,189.0,1452.0,233.0,350.0
CCNT2,1,"(0, 1]",0.002388948493286633,CCNT2,349.61099281341495,22542.0,285.0,202.9295585676749,163.0,1496.0,207.0,415.0
RREB1,1,"(0, 1]",0.0009705245062091624,RREB1,344.0071988825615,9307.0,293.0,163.48369982113726,186.0,1452.0,230.0,403.5
ZNF704,1,"(0, 1]",6.193769223303413e-05,ZNF704,341.68394648829434,598.0,301.0,130.30399494504,226.0,1112.0,253.25,375.75
EZH1,1,"(0, 1]",0.00285472780814004,EZH1,208.86460112222494,45089.0,176.0,94.77623955149242,127.0,1305.0,147.0,233.0
MAML1,1,"(0, 1]",0.005181635848042802,MAML1,379.36396724294815,45059.0,327.0,189.84307099544083,178.0,1499.0,246.0,451.0
ZNF680,1,"(0, 1]",0.0013625116145942297,ZNF680,283.3515728424636,15863.0,261.0,91.66316291467761,181.0,1167.0,219.0,326.0
ZNF468,1,"(0, 1]",0.0006754432849747178,ZNF468,336.8447467876039,6615.0,303.0,147.81589696125022,192.0,1481.0,230.0,389.0
U2AF2,1,"(0, 1]",0.001083760019305419,U2AF2,256.56469321851455,13935.0,218.0,108.5790933298361,167.0,1239.0,180.0,296.0
ZNF408,1,"(0, 1]",2.0307300934655834e-05,ZNF408,287.51931330472104,233.0,245.0,131.56442900281505,187.0,1062.0,206.0,311.0
ZNF585A,1,"(0, 1]",0.00046804945720920523,ZNF585A,233.52298850574712,6612.0,208.0,92.15847555931778,149.0,980.0,164.0,272.0
LCORL,1,"(0, 1]",0.0008816679394105049,LCORL,306.4206700379267,9492.0,279.0,110.11862324698609,200.0,1383.0,231.0,345.0
OVOL1,1,"(0, 1]",0.0012888127722393346,OVOL1,298.55206797275474,14241.0,261.0,138.179839675725,171.0,1483.0,210.0,337.0
BNC2,1,"(0, 1]",0.0018652767592323895,BNC2,354.13121546961327,17376.0,293.0,190.42470712506818,174.0,1499.0,224.0,416.25
BRD7,1,"(0, 1]",0.0018479377095926967,BRD7,292.565340500072,20837.0,242.0,158.47704656876527,140.0,1494.0,189.0,339.0
UTX,1,"(0, 1]",4.677511770545644e-05,UTX,323.49475890985326,477.0,301.0,85.8462965545814,242.0,831.0,258.0,361.0
GLYR1,1,"(0, 1]",0.0028366700367049675,GLYR1,460.79993106165057,20308.0,376.0,230.29441421085141,267.0,1499.0,302.0,530.0
ZNF285,1,"(0, 1]",8.758493544833387e-05,ZNF285,312.70021645021643,924.0,294.0,49.774442048202204,294.0,746.0,294.0,294.0
ZNF595,1,"(0, 1]",2.5582373344270128e-05,ZNF595,233.77839335180056,361.0,215.0,83.83559094819893,159.0,869.0,169.0,275.0
DLX4,1,"(0, 1]",1.547782997557211e-05,DLX4,381.04477611940297,134.0,331.5,216.52730351619545,143.0,1433.0,208.25,496.25
ZFP69,1,"(0, 1]",7.772107748897006e-05,ZFP69,324.9619771863118,789.0,311.0,94.0633687157591,208.0,762.0,244.0,385.0
LMO1,1,"(0, 1]",0.004429743116929438,LMO1,335.4759641873278,43560.0,306.0,138.633126802614,176.0,1459.0,226.0,410.0
RORC,1,"(0, 1]",0.006916230433304591,RORC,502.7108800070506,45386.0,406.0,284.98792376910836,218.0,1499.0,284.0,635.0
ZNF33A,1,"(0, 1]",2.0497363594167853e-05,ZNF33A,177.94473684210527,380.0,150.0,90.95552335159613,150.0,1490.0,150.0,178.0
ZSCAN22,1,"(0, 1]",0.0035249551311016428,ZSCAN22,302.44790366208906,38448.0,237.0,185.27949597502717,143.0,1486.0,173.0,362.0
